tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
0,5,-1.791765,-0.564430,-115.0000,-35.1111
0,6,-1.710419,-0.653554,-115.0000,-62.1886
0,7,-1.756567,-0.641981,-115.0000,-94.1209
0,18,-3.096740,3.076473,25.0206,70.2557
0,19,-3.102281,3.102276,32.6742,87.7541
0,20,-3.103684,3.103690,37.3960,93.9771
0,21,-3.108762,3.108767,44.9935,110.0950
0,22,-3.108762,3.108767,55.2653,110.0950
1,5,-1.006367,0.220969,-115.0000,-35.1111
1,6,-0.917242,0.139623,-115.0000,-62.1886
1,7,-0.836416,0.097218,-115.0000,-94.1209
1,18,-2.706309,-1.198956,25.0206,70.2557
1,19,-2.615830,-1.198956,32.6741,87.7541
1,20,-2.597103,-1.413764,37.3960,93.9771
1,21,-2.558983,-1.368003,44.9935,110.0950
1,22,-2.558983,-1.368003,55.2653,110.0950
2,5,-0.220969,1.006367,-115.0000,-35.1111
2,6,-0.139623,0.917242,-115.0000,-62.1886
2,7,-0.097218,0.836416,-115.0000,-94.1209
2,18,-1.942632,-0.435280,25.0206,70.2557
2,19,-1.942632,-0.525760,32.6741,87.7541
2,20,-1.727834,-0.544485,37.3960,93.9771
2,21,-1.773585,-0.582605,44.9935,110.0950
2,22,-1.773585,-0.582605,55.2653,110.0950
3,5,0.564430,1.791765,-115.0000,-35.1111
3,6,0.653554,1.710419,-115.0000,-62.1886
3,7,0.641981,1.756567,-115.0000,-94.1209
3,18,-1.135513,0.371839,25.0206,70.2557
3,19,-1.045034,0.371839,32.6742,87.7541
3,20,-0.979554,0.157033,37.3960,93.9771
3,21,-0.988187,0.202793,44.9935,110.0950
3,22,-0.988187,0.202793,55.2653,110.0950
4,5,1.349827,2.577163,-115.0000,-35.1111
4,6,1.431173,2.488038,-115.0000,-62.1886
4,7,1.381178,2.495765,-115.0000,-94.1209
4,18,-0.371836,1.135516,25.0206,70.2557
4,19,-0.371836,1.045041,32.6742,87.7541
4,20,-0.157038,0.979545,37.3960,93.9771
4,21,-0.202788,0.988191,44.9935,110.0950
4,22,-0.202788,0.988191,55.2653,110.0950
5,5,-2.926514,2.952823,-115.0000,-35.1111
5,6,-3.004367,3.011638,-115.0000,-62.1886
5,7,-3.049303,3.054011,-115.0000,-94.1209
5,18,0.435283,1.942636,25.0206,70.2557
5,19,0.525762,1.942636,32.6741,87.7541
5,20,0.544490,1.727829,37.3960,93.9771
5,21,0.582610,1.773590,44.9935,110.0950
5,22,0.582610,1.773590,55.2653,110.0950
6,5,-2.952823,2.926514,-115.0000,-35.1111
6,6,-3.011638,3.004367,-115.0000,-62.1886
6,7,-3.054011,3.049303,-115.0000,-94.1209
6,18,1.198960,2.706313,25.0206,70.2557
6,19,1.198960,2.615833,32.6741,87.7541
6,20,1.413758,2.597107,37.3960,93.9771
6,21,1.368008,2.558987,44.9935,110.0950
6,22,1.368008,2.558987,55.2653,110.0950
7,5,-2.577163,-1.349827,-115.0000,-35.1111
7,6,-2.488038,-1.431173,-115.0000,-62.1886
7,7,-2.495765,-1.381178,-115.0000,-94.1209
7,18,-3.076467,3.096746,25.0206,70.2557
7,19,-3.102281,3.102276,32.6742,87.7541
7,20,-3.103684,3.103690,37.3960,93.9771
7,21,-3.108762,3.108767,44.9935,110.0950
7,22,-3.108762,3.108767,55.2653,110.0950
8,5,-1.791765,-0.564430,-57.1505,-10.6603
8,6,-1.710419,-0.653554,-83.2020,-19.7419
8,7,-1.756567,-0.641981,-115.0000,-31.5520
8,8,-1.638922,-0.717273,-116.9460,-48.8934
8,9,-1.673851,-0.658179,-116.9460,-68.3777
8,10,-1.778293,-0.618448,-116.9460,-77.4214
8,18,-3.108762,3.108767,60.2304,110.0950
8,19,-3.108762,3.108767,67.2072,110.0950
8,20,-3.108762,3.108767,83.9403,110.0950
8,21,-3.108762,3.108767,100.0545,110.0950
9,5,-1.006367,0.220969,-57.1505,-10.6603
9,6,-0.917242,0.139623,-83.2020,-19.7419
9,7,-0.836416,0.097218,-115.0000,-31.5520
9,8,-0.853524,0.068125,-116.9460,-48.8934
9,9,-0.963287,0.152554,-116.9460,-68.3777
9,10,-0.951558,0.208287,-116.9460,-77.4214
9,18,-2.558983,-1.368003,60.2304,110.0950
9,19,-2.558983,-1.368003,67.2072,110.0950
9,20,-2.558983,-1.368003,83.9403,110.0950
9,21,-2.558983,-1.368003,100.0545,110.0950
10,5,-0.220969,1.006367,-57.1505,-10.6603
10,6,-0.139623,0.917242,-83.2020,-19.7419
10,7,-0.097218,0.836416,-115.0000,-31.5520
10,8,-0.068125,0.853524,-116.9460,-48.8934
10,9,-0.152554,0.963287,-116.9460,-68.3777
10,10,-0.208287,0.951558,-116.9460,-77.4214
10,18,-1.773585,-0.582605,60.2304,110.0950
10,19,-1.773585,-0.582605,67.2072,110.0950
10,20,-1.773585,-0.582605,83.9403,110.0950
10,21,-1.773585,-0.582605,100.0545,110.0950
11,5,0.564430,1.791765,-57.1505,-10.6603
11,6,0.653554,1.710419,-83.2020,-19.7419
11,7,0.641981,1.756567,-115.0000,-31.5520
11,8,0.717273,1.638922,-116.9460,-48.8934
11,9,0.658179,1.673851,-116.9460,-68.3777
11,10,0.618448,1.778293,-116.9460,-77.4214
11,18,-0.988187,0.202793,60.2304,110.0950
11,19,-0.988187,0.202793,67.2072,110.0950
11,20,-0.988187,0.202793,83.9403,110.0950
11,21,-0.988187,0.202793,100.0545,110.0950
12,5,1.349827,2.577163,-57.1505,-10.6603
12,6,1.431173,2.488038,-83.2020,-19.7419
12,7,1.381178,2.495765,-115.0000,-31.5520
12,8,1.502671,2.424320,-116.9460,-48.8934
12,9,1.468914,2.484585,-116.9460,-68.3777
12,10,1.363300,2.523145,-116.9460,-77.4214
12,18,-0.202788,0.988191,60.2304,110.0950
12,19,-0.202788,0.988191,67.2072,110.0950
12,20,-0.202788,0.988191,83.9403,110.0950
12,21,-0.202788,0.988191,100.0545,110.0950
13,5,-2.926514,2.952823,-57.1505,-10.6603
13,6,-3.004367,3.011638,-83.2020,-19.7419
13,7,-3.049303,3.054011,-115.0000,-31.5520
13,8,-3.074075,3.076849,-116.9460,-48.8934
13,9,-3.092636,3.092636,-116.9460,-68.3777
13,10,-3.101068,3.101068,-116.9460,-77.4214
13,18,0.582610,1.773590,60.2304,110.0950
13,19,0.582610,1.773590,67.2072,110.0950
13,20,0.582610,1.773590,83.9403,110.0950
13,21,0.582610,1.773590,100.0545,110.0950
14,5,-2.952823,2.926514,-57.1505,-10.6603
14,6,-3.011638,3.004367,-83.2020,-19.7419
14,7,-3.054011,3.049303,-115.0000,-31.5520
14,8,-3.076849,3.074075,-116.9460,-48.8934
14,9,-3.092636,3.092636,-116.9460,-68.3777
14,10,-3.101068,3.101068,-116.9460,-77.4214
14,18,1.368008,2.558987,60.2304,110.0950
14,19,1.368008,2.558987,67.2072,110.0950
14,20,1.368008,2.558987,83.9403,110.0950
14,21,1.368008,2.558987,100.0545,110.0950
15,5,-2.577163,-1.349827,-57.1505,-10.6603
15,6,-2.488038,-1.431173,-83.2020,-19.7419
15,7,-2.495765,-1.381178,-115.0000,-31.5520
15,8,-2.424320,-1.502671,-116.9460,-48.8934
15,9,-2.484585,-1.468914,-116.9460,-68.3777
15,10,-2.523145,-1.363300,-116.9460,-77.4214
15,18,-3.108762,3.108767,60.2304,110.0950
15,19,-3.108762,3.108767,67.2072,110.0950
15,20,-3.108762,3.108767,83.9403,110.0950
15,21,-3.108762,3.108767,100.0545,110.0950
16,5,-1.791765,-0.564430,-26.9838,6.7078
16,6,-1.710419,-0.653554,-36.7083,6.7748
16,7,-1.756567,-0.641981,-48.6271,8.1939
16,8,-1.638922,-0.717273,-68.2125,10.4742
16,9,-1.673851,-0.658179,-78.4277,10.4742
16,10,-1.778293,-0.618448,-97.7617,0.5182
17,5,-1.006367,0.220969,-26.9838,6.7078
17,6,-0.917242,0.139623,-36.7083,6.7748
17,7,-0.836416,0.097218,-48.6271,8.1939
17,8,-0.853524,0.068125,-68.2125,10.4742
17,9,-0.963287,0.152554,-78.4277,10.4742
17,10,-0.951558,0.208287,-97.7617,0.5182
18,5,-0.220969,1.006367,-26.9838,6.7078
18,6,-0.139623,0.917242,-36.7083,6.7748
18,7,-0.097218,0.836416,-48.6271,8.1939
18,8,-0.068125,0.853524,-68.2125,10.4742
18,9,-0.152554,0.963287,-78.4277,10.4742
18,10,-0.208287,0.951558,-97.7617,0.5182
19,5,0.564430,1.791765,-26.9838,6.7078
19,6,0.653554,1.710419,-36.7083,6.7748
19,7,0.641981,1.756567,-48.6271,8.1939
19,8,0.717273,1.638922,-68.2125,10.4742
19,9,0.658179,1.673851,-78.4277,10.4742
19,10,0.618448,1.778293,-97.7617,0.5182
20,5,1.349827,2.577163,-26.9838,6.7078
20,6,1.431173,2.488038,-36.7083,6.7748
20,7,1.381178,2.495765,-48.6271,8.1939
20,8,1.502671,2.424320,-68.2125,10.4742
20,9,1.468914,2.484585,-78.4277,10.4742
20,10,1.363300,2.523145,-97.7617,0.5182
21,5,-2.926514,2.952823,-26.9838,6.7078
21,6,-3.004367,3.011638,-36.7083,6.7748
21,7,-3.049303,3.054011,-48.6271,8.1939
21,8,-3.074075,3.076849,-68.2125,10.4742
21,9,-3.092636,3.092636,-78.4277,10.4742
21,10,-3.101068,3.101068,-97.7617,0.5182
22,5,-2.952823,2.926514,-26.9838,6.7078
22,6,-3.011638,3.004367,-36.7083,6.7748
22,7,-3.054011,3.049303,-48.6271,8.1939
22,8,-3.076849,3.074075,-68.2125,10.4742
22,9,-3.092636,3.092636,-78.4277,10.4742
22,10,-3.101068,3.101068,-97.7617,0.5182
23,5,-2.577163,-1.349827,-26.9838,6.7078
23,6,-2.488038,-1.431173,-36.7083,6.7748
23,7,-2.495765,-1.381178,-48.6271,8.1939
23,8,-2.424320,-1.502671,-68.2125,10.4742
23,9,-2.484585,-1.468914,-78.4277,10.4742
23,10,-2.523145,-1.363300,-97.7617,0.5182
24,5,-1.791765,-0.564430,-6.7127,26.9799
24,6,-1.710419,-0.653554,-6.7797,36.7048
24,7,-1.756567,-0.641981,-5.2542,47.7511
24,8,-1.638922,-0.717273,-9.5318,59.4103
24,9,-1.673851,-0.658179,-9.5318,78.7372
24,10,-1.778293,-0.618448,-9.5318,88.9935
25,5,-1.006367,0.220969,-6.7127,26.9799
25,6,-0.917242,0.139623,-6.7797,36.7048
25,7,-0.836416,0.097218,-5.2542,47.7511
25,8,-0.853524,0.068125,-9.5318,59.4103
25,9,-0.963287,0.152554,-9.5318,78.7372
25,10,-0.951558,0.208287,-9.5318,88.9935
26,5,-0.220969,1.006367,-6.7127,26.9799
26,6,-0.139623,0.917242,-6.7797,36.7048
26,7,-0.097218,0.836416,-5.2542,47.7511
26,8,-0.068125,0.853524,-9.5318,59.4103
26,9,-0.152554,0.963287,-9.5318,78.7372
26,10,-0.208287,0.951558,-9.5318,88.9935
27,5,0.564430,1.791765,-6.7127,26.9799
27,6,0.653554,1.710419,-6.7797,36.7048
27,7,0.641981,1.756567,-5.2542,47.7511
27,8,0.717273,1.638922,-9.5318,59.4103
27,9,0.658179,1.673851,-9.5318,78.7372
27,10,0.618448,1.778293,-9.5318,88.9935
28,5,1.349827,2.577163,-6.7127,26.9799
28,6,1.431173,2.488038,-6.7797,36.7048
28,7,1.381178,2.495765,-5.2542,47.7511
28,8,1.502671,2.424320,-9.5318,59.4103
28,9,1.468914,2.484585,-9.5318,78.7372
28,10,1.363300,2.523145,-9.5318,88.9935
29,5,-2.926514,2.952823,-6.7127,26.9799
29,6,-3.004367,3.011638,-6.7797,36.7048
29,7,-3.049303,3.054011,-5.2542,47.7511
29,8,-3.074075,3.076849,-9.5318,59.4103
29,9,-3.092636,3.092636,-9.5318,78.7372
29,10,-3.101068,3.101068,-9.5318,88.9935
30,5,-2.952823,2.926514,-6.7127,26.9799
30,6,-3.011638,3.004367,-6.7797,36.7048
30,7,-3.054011,3.049303,-5.2542,47.7511
30,8,-3.076849,3.074075,-9.5318,59.4103
30,9,-3.092636,3.092636,-9.5318,78.7372
30,10,-3.101068,3.101068,-9.5318,88.9935
31,5,-2.577163,-1.349827,-6.7127,26.9799
31,6,-2.488038,-1.431173,-6.7797,36.7048
31,7,-2.495765,-1.381178,-5.2542,47.7511
31,8,-2.424320,-1.502671,-9.5318,59.4103
31,9,-2.484585,-1.468914,-9.5318,78.7372
31,10,-2.523145,-1.363300,-9.5318,88.9935
32,5,-1.791765,-0.564430,10.6558,57.1481
32,6,-1.710419,-0.653554,19.7377,83.2006
32,7,-1.756567,-0.641981,34.4563,115.0000
32,8,-1.638922,-0.717273,49.3603,116.9440
32,9,-1.673851,-0.658179,59.5413,116.9440
32,10,-1.778293,-0.618448,78.9435,116.9440
32,11,-0.124253,1.066726,60.2304,110.0950
32,12,-0.124253,1.066726,67.2072,110.0950
32,13,-0.124253,1.066726,83.9403,110.0950
32,14,-0.124253,1.066726,100.0545,110.0950
33,5,-1.006367,0.220969,10.6558,57.1481
33,6,-0.917242,0.139623,19.7377,83.2006
33,7,-0.836416,0.097218,34.4563,115.0000
33,8,-0.853524,0.068125,49.3603,116.9440
33,9,-0.963287,0.152554,59.5413,116.9440
33,10,-0.951558,0.208287,78.9435,116.9440
33,11,0.661145,1.852124,60.2304,110.0950
33,12,0.661145,1.852124,67.2072,110.0950
33,13,0.661145,1.852124,83.9403,110.0950
33,14,0.661145,1.852124,100.0545,110.0950
34,5,-0.220969,1.006367,10.6558,57.1481
34,6,-0.139623,0.917242,19.7377,83.2006
34,7,-0.097218,0.836416,34.4563,115.0000
34,8,-0.068125,0.853524,49.3603,116.9440
34,9,-0.152554,0.963287,59.5413,116.9440
34,10,-0.208287,0.951558,78.9435,116.9440
34,11,1.446543,2.637522,60.2304,110.0950
34,12,1.446543,2.637522,67.2072,110.0950
34,13,1.446543,2.637522,83.9403,110.0950
34,14,1.446543,2.637522,100.0545,110.0950
35,5,0.564430,1.791765,10.6558,57.1481
35,6,0.653554,1.710419,19.7377,83.2006
35,7,0.641981,1.756567,34.4563,115.0000
35,8,0.717273,1.638922,49.3603,116.9440
35,9,0.658179,1.673851,59.5413,116.9440
35,10,0.618448,1.778293,78.9435,116.9440
35,11,-3.108767,3.108762,60.2305,110.0950
35,12,-3.108767,3.108762,67.2072,110.0950
35,13,-3.108767,3.108762,83.9404,110.0950
35,14,-3.108767,3.108762,100.0545,110.0950
36,5,1.349827,2.577163,10.6558,57.1481
36,6,1.431173,2.488038,19.7377,83.2006
36,7,1.381178,2.495765,34.4563,115.0000
36,8,1.502671,2.424320,49.3603,116.9440
36,9,1.468914,2.484585,59.5413,116.9440
36,10,1.363300,2.523145,78.9435,116.9440
36,11,-3.108767,3.108762,60.2304,110.0950
36,12,-3.108767,3.108762,67.2072,110.0950
36,13,-3.108767,3.108762,83.9403,110.0950
36,14,-3.108767,3.108762,100.0545,110.0950
37,5,-2.926514,2.952823,10.6558,57.1481
37,6,-3.004367,3.011638,19.7377,83.2006
37,7,-3.049303,3.054011,34.4563,115.0000
37,8,-3.074075,3.076849,49.3603,116.9440
37,9,-3.092636,3.092636,59.5413,116.9440
37,10,-3.101068,3.101068,78.9435,116.9440
37,11,-2.480447,-1.289468,60.2304,110.0950
37,12,-2.480447,-1.289468,67.2072,110.0950
37,13,-2.480447,-1.289468,83.9403,110.0950
37,14,-2.480447,-1.289468,100.0545,110.0950
38,5,-2.952823,2.926514,10.6558,57.1481
38,6,-3.011638,3.004367,19.7377,83.2006
38,7,-3.054011,3.049303,34.4563,115.0000
38,8,-3.076849,3.074075,49.3603,116.9440
38,9,-3.092636,3.092636,59.5413,116.9440
38,10,-3.101068,3.101068,78.9435,116.9440
38,11,-1.695049,-0.504071,60.2304,110.0950
38,12,-1.695049,-0.504071,67.2072,110.0950
38,13,-1.695049,-0.504071,83.9403,110.0950
38,14,-1.695049,-0.504071,100.0545,110.0950
39,5,-2.577163,-1.349827,10.6558,57.1481
39,6,-2.488038,-1.431173,19.7377,83.2006
39,7,-2.495765,-1.381178,34.4563,115.0000
39,8,-2.424320,-1.502671,49.3603,116.9440
39,9,-2.484585,-1.468914,59.5413,116.9440
39,10,-2.523145,-1.363300,78.9435,116.9440
39,11,-0.909651,0.281328,60.2305,110.0950
39,12,-0.909651,0.281328,67.2072,110.0950
39,13,-0.909651,0.281328,83.9404,110.0950
39,14,-0.909651,0.281328,100.0545,110.0950
40,5,-1.791765,-0.564430,35.1077,115.0000
40,6,-1.710419,-0.653554,62.1864,115.0000
40,7,-1.756567,-0.641981,93.9064,115.0000
40,11,-0.147442,1.449672,25.0206,70.2557
40,12,-0.147442,1.269434,32.6742,87.7541
40,13,-0.058863,1.154080,37.3960,93.9771
40,14,-0.124253,1.154080,44.9935,110.0950
40,15,-0.124253,1.066726,55.2653,110.0950
41,5,-1.006367,0.220969,35.1077,115.0000
41,6,-0.917242,0.139623,62.1864,115.0000
41,7,-0.836416,0.097218,93.9064,115.0000
41,11,0.749437,2.167033,25.0206,70.2557
41,12,0.726535,2.167033,32.6741,87.7541
41,13,0.726535,1.923903,37.3960,93.9771
41,14,0.661145,1.852211,44.9935,110.0950
41,15,0.661145,1.852124,55.2653,110.0950
42,5,-0.220969,1.006367,35.1077,115.0000
42,6,-0.139623,0.917242,62.1864,115.0000
42,7,-0.097218,0.836416,93.9064,115.0000
42,11,1.423355,3.020468,25.0206,70.2557
42,12,1.423355,2.840231,32.6742,87.7541
42,13,1.511933,2.821501,37.3960,93.9771
42,14,1.446543,2.719636,44.9936,110.0950
42,15,1.446543,2.637522,55.2653,110.0950
43,5,0.564430,1.791765,35.1077,115.0000
43,6,0.653554,1.710419,62.1864,115.0000
43,7,0.641981,1.756567,93.9064,115.0000
43,11,-3.096746,3.096740,25.0206,70.2557
43,12,-3.102276,3.102281,32.6742,87.7541
43,13,-3.103690,3.103684,37.3960,93.9771
43,14,-3.108767,3.108762,44.9936,110.0950
43,15,-3.108767,3.108762,55.2653,110.0950
44,5,1.349827,2.577163,35.1077,115.0000
44,6,1.431173,2.488038,62.1864,115.0000
44,7,1.381178,2.495765,93.9064,115.0000
44,11,-3.096746,3.012393,25.0206,70.2557
44,12,-3.102276,3.089467,32.6742,87.7541
44,13,-3.103690,3.092921,37.3960,93.9771
44,14,-3.108767,3.108762,44.9935,110.0950
44,15,-3.108767,3.108762,55.2653,110.0950
45,5,-2.926514,2.952823,35.1077,115.0000
45,6,-3.004367,3.011638,62.1864,115.0000
45,7,-3.049303,3.054011,93.9064,115.0000
45,11,-2.392156,-0.974560,25.0206,70.2557
45,12,-2.415057,-0.974560,32.6741,87.7541
45,13,-2.415057,-1.217689,37.3960,93.9771
45,14,-2.480447,-1.289381,44.9935,110.0950
45,15,-2.480447,-1.289468,55.2653,110.0950
46,5,-2.952823,2.926514,35.1077,115.0000
46,6,-3.011638,3.004367,62.1864,115.0000
46,7,-3.054011,3.049303,93.9064,115.0000
46,11,-1.718238,-0.121124,25.0206,70.2557
46,12,-1.718238,-0.301362,32.6742,87.7541
46,13,-1.629660,-0.320091,37.3960,93.9771
46,14,-1.695049,-0.421956,44.9936,110.0950
46,15,-1.695049,-0.504071,55.2653,110.0950
47,5,-2.577163,-1.349827,35.1077,115.0000
47,6,-2.488038,-1.431173,62.1864,115.0000
47,7,-2.495765,-1.381178,93.9064,115.0000
47,11,-0.821360,0.596236,25.0206,70.2557
47,12,-0.844261,0.596236,32.6742,87.7541
47,13,-0.844261,0.316460,37.3960,93.9771
47,14,-0.909651,0.281328,44.9936,110.0950
47,15,-0.909651,0.281328,55.2653,110.0950